OBJECTID,街道名称,绿地面积（m2）
164,提篮桥街道,8.23165000000
165,提篮桥街道,8.22800000000
166,提篮桥街道,8.22800000000
167,提篮桥街道,24.68770000000
168,提篮桥街道,201.59200000000
169,提篮桥街道,37.02450000000
170,提篮桥街道,12.34620000000
171,提篮桥街道,6.17049000000
172,提篮桥街道,265.35100000000
173,提篮桥街道,12.33980000000
174,提篮桥街道,92.55570000000
175,提篮桥街道,45.26070000000
176,提篮桥街道,117.26100000000
177,提篮桥街道,12.33990000000
178,提篮桥街道,8.22739000000
179,提篮桥街道,26.74130000000
180,提篮桥街道,106.97300000000
181,提篮桥街道,8.22678000000
182,提篮桥街道,102.86000000000
183,提篮桥街道,59.65410000000
184,提篮桥街道,8.22760000000
185,提篮桥街道,12460.30000000000
186,提篮桥街道,12.34130000000
187,提篮桥街道,8.23044000000
188,提篮桥街道,55.55140000000
189,提篮桥街道,12.34150000000
190,提篮桥街道,37.03090000000
191,提篮桥街道,45.25740000000
192,提篮桥街道,129.59200000000
193,提篮桥街道,8.22658000000
194,提篮桥街道,4.11319000000
195,提篮桥街道,74.04650000000
196,提篮桥街道,18.51540000000
197,提篮桥街道,59.65300000000
198,提篮桥街道,41.14360000000
199,提篮桥街道,18.51180000000
200,提篮桥街道,277.70900000000
201,提篮桥街道,141.92800000000
202,提篮桥街道,8.22780000000
203,提篮桥街道,4.11451000000
204,提篮桥街道,8.23023000000
205,提篮桥街道,32.91890000000
206,提篮桥街道,34.97720000000
207,提篮桥街道,69.94690000000
208,提篮桥街道,49.37340000000
209,提篮桥街道,8.23064000000
210,提篮桥街道,8.22922000000
211,提篮桥街道,10.28440000000
212,提篮桥街道,43.20490000000
213,提篮桥街道,10.28510000000
214,提篮桥街道,74.06910000000
215,提篮桥街道,26.74600000000
216,提篮桥街道,34.97220000000
217,提篮桥街道,8.22658000000
218,提篮桥街道,238.60600000000
219,提篮桥街道,8.22800000000
220,提篮桥街道,65.82740000000
221,提篮桥街道,34.97260000000
222,提篮桥街道,0.68505800000
223,提篮桥街道,84.33980000000
224,提篮桥街道,24.68450000000
225,提篮桥街道,24.68620000000
226,提篮桥街道,1.37052000000
227,提篮桥街道,106.95200000000
228,提篮桥街道,61.71120000000
229,提篮桥街道,84.33870000000
230,提篮桥街道,8.22658000000
231,提篮桥街道,8.23104000000
232,提篮桥街道,837.23300000000
233,提篮桥街道,2988.92000000000
234,提篮桥街道,8.22526000000
235,提篮桥街道,172.76700000000
236,提篮桥街道,36.34460000000
237,提篮桥街道,197.48000000000
238,提篮桥街道,32.91970000000
239,提篮桥街道,2.05670000000
240,提篮桥街道,147.43100000000
241,提篮桥街道,263.29400000000
242,提篮桥街道,2960.11000000000
243,提篮桥街道,80.22340000000
244,提篮桥街道,28.79610000000
245,提篮桥街道,6.85716000000
246,提篮桥街道,28.80500000000
247,提篮桥街道,1.37036000000
248,提篮桥街道,69.94310000000
249,提篮桥街道,135.77400000000
250,提篮桥街道,98.73400000000
251,提篮桥街道,53.48270000000
252,提篮桥街道,6.17080000000
253,提篮桥街道,26.74430000000
254,提篮桥街道,8.22881000000
255,提篮桥街道,8.22800000000
256,提篮桥街道,53.48320000000
257,提篮桥街道,166.61300000000
258,提篮桥街道,12.34310000000
259,提篮桥街道,53.48740000000
260,提篮桥街道,8.23044000000
261,提篮桥街道,74.05270000000
262,提篮桥街道,534.15600000000
263,提篮桥街道,90.51900000000
264,提篮桥街道,26.74780000000
265,提篮桥街道,8.22922000000
266,提篮桥街道,41.14470000000
267,提篮桥街道,12.34190000000
268,提篮桥街道,1127.26000000000
269,提篮桥街道,141.94200000000
270,提篮桥街道,12.34130000000
271,提篮桥街道,193.36400000000
272,提篮桥街道,20.56930000000
273,提篮桥街道,106.96300000000
274,提篮桥街道,949.68800000000
275,提篮桥街道,672.64900000000
276,提篮桥街道,8.22780000000
277,提篮桥街道,24.68560000000
278,提篮桥街道,185.14000000000
279,提篮桥街道,22.63290000000
280,提篮桥街道,43.19380000000
281,提篮桥街道,4.11319000000
282,提篮桥街道,18.51390000000
283,提篮桥街道,12.34100000000
284,提篮桥街道,16.45610000000
285,提篮桥街道,183.07900000000
286,提篮桥街道,292.10800000000
287,提篮桥街道,8.22983000000
288,提篮桥街道,8.22922000000
289,提篮桥街道,8.22820000000
290,提篮桥街道,1071.71000000000
291,提篮桥街道,111.08800000000
292,提篮桥街道,257.13200000000
293,提篮桥街道,269.47600000000
294,提篮桥街道,119.30600000000
295,提篮桥街道,59.65800000000
296,提篮桥街道,8.22800000000
297,提篮桥街道,102.85500000000
298,提篮桥街道,57.59730000000
299,提篮桥街道,139.88400000000
300,提篮桥街道,65.82950000000
301,提篮桥街道,43.20040000000
302,提篮桥街道,903.04700000000
303,提篮桥街道,74.05390000000
304,提篮桥街道,872.21700000000
305,提篮桥街道,34.96390000000
306,提篮桥街道,12.34070000000
307,提篮桥街道,1044.99000000000
308,提篮桥街道,32.91060000000
309,提篮桥街道,8.22780000000
310,提篮桥街道,2.05730000000
311,提篮桥街道,47.31960000000
312,提篮桥街道,4.11522000000
313,提篮桥街道,4.11593000000
314,提篮桥街道,8.22922000000
315,提篮桥街道,931.83200000000
316,提篮桥街道,24.68620000000
317,提篮桥街道,109.02800000000
318,提篮桥街道,49.37610000000
319,提篮桥街道,12.34180000000
320,提篮桥街道,8.22770000000
321,提篮桥街道,168.68700000000
322,提篮桥街道,8.22942000000
323,提篮桥街道,10.44290000000
324,提篮桥街道,114.41100000000
325,提篮桥街道,1.42319000000
326,提篮桥街道,41.13760000000
327,提篮桥街道,4.11451000000
328,提篮桥街道,3286.54000000000
329,提篮桥街道,4.99546000000
330,提篮桥街道,22.62630000000
331,提篮桥街道,0.88149200000
332,提篮桥街道,931.85500000000
333,提篮桥街道,8.23044000000
334,提篮桥街道,26.74200000000
335,提篮桥街道,45.25310000000
336,提篮桥街道,857.79700000000
337,提篮桥街道,4.11451000000
338,提篮桥街道,45.25140000000
339,提篮桥街道,28.79480000000
340,提篮桥街道,6.17080000000
341,提篮桥街道,22.62710000000
342,提篮桥街道,8.23186000000
343,提篮桥街道,399.05700000000
344,提篮桥街道,16.45600000000
345,提篮桥街道,51.42090000000
346,提篮桥街道,53.48260000000
347,提篮桥街道,8.22851000000
348,提篮桥街道,92.57090000000
349,提篮桥街道,16.45360000000
350,提篮桥街道,4.11532000000
351,提篮桥街道,160.44300000000
352,提篮桥街道,39.08170000000
353,提篮桥街道,146.05400000000
354,提篮桥街道,10.28810000000
355,提篮桥街道,14.40290000000
356,提篮桥街道,28.79660000000
357,提篮桥街道,104.91700000000
358,提篮桥街道,45.26310000000
359,提篮桥街道,1.23390000000
360,提篮桥街道,3.28986000000
361,提篮桥街道,90.52010000000
362,提篮桥街道,26.74470000000
363,提篮桥街道,30.85150000000
364,提篮桥街道,423.77500000000
365,提篮桥街道,382.63600000000
366,提篮桥街道,12.34640000000
367,提篮桥街道,8.23044000000
368,提篮桥街道,113.14300000000
369,提篮桥街道,45.25370000000
370,提篮桥街道,4.11522000000
371,提篮桥街道,2.05730000000
372,提篮桥街道,250.96900000000
373,提篮桥街道,8.22922000000
374,提篮桥街道,148.12100000000
375,提篮桥街道,20.56730000000
376,提篮桥街道,16.45360000000
377,提篮桥街道,4.11207000000
378,提篮桥街道,24.67970000000
379,提篮桥街道,37.02690000000
380,提篮桥街道,18.50860000000
381,提篮桥街道,139.88800000000
382,提篮桥街道,4.11197000000
383,提篮桥街道,92.56250000000
384,提篮桥街道,82.28710000000
385,提篮桥街道,53.48270000000
386,提篮桥街道,55.54210000000
387,提篮桥街道,929.80200000000
388,提篮桥街道,109.03400000000
389,提篮桥街道,115.20000000000
390,提篮桥街道,12.34310000000
391,提篮桥街道,8.22902000000
392,提篮桥街道,57.59570000000
393,提篮桥街道,24.68260000000
394,提篮桥街道,2.05670000000
395,提篮桥街道,2.05659000000
396,提篮桥街道,8.22638000000
397,提篮桥街道,102.85000000000
398,提篮桥街道,8.23145000000
399,提篮桥街道,78.17180000000
400,提篮桥街道,1330.94000000000
401,提篮桥街道,18.51050000000
402,提篮桥街道,176.90500000000
403,提篮桥街道,32.90840000000
404,提篮桥街道,104.90800000000
405,提篮桥街道,74.05070000000
406,提篮桥街道,10.28500000000
407,提篮桥街道,20.57280000000
408,提篮桥街道,8.22658000000
409,提篮桥街道,39.08420000000
410,提篮桥街道,6.16867000000
411,提篮桥街道,8.22983000000
412,提篮桥街道,796.11700000000
413,提篮桥街道,12.34030000000
414,提篮桥街道,18.51100000000
415,提篮桥街道,59.66950000000
416,提篮桥街道,67.88100000000
417,提篮桥街道,12.34130000000
418,提篮桥街道,4.11197000000
419,提篮桥街道,78.16390000000
420,提篮桥街道,16.46090000000
421,提篮桥街道,82.28290000000
422,提篮桥街道,48.78850000000
423,提篮桥街道,187.18300000000
424,提篮桥街道,230.40300000000
425,提篮桥街道,18.51700000000
426,提篮桥街道,674.71200000000
427,提篮桥街道,30.86370000000
428,提篮桥街道,8.22902000000
429,提篮桥街道,43.20810000000
430,提篮桥街道,32.91600000000
431,提篮桥街道,53.49270000000
432,提篮桥街道,8.23044000000
433,提篮桥街道,8.22902000000
434,提篮桥街道,74.05650000000
435,提篮桥街道,160.47000000000
436,提篮桥街道,14.39940000000
437,提篮桥街道,63.76610000000
438,提篮桥街道,8.22678000000
439,提篮桥街道,20.56970000000
440,提篮桥街道,5.65409000000
441,提篮桥街道,0.33351700000
442,提篮桥街道,24.68640000000
443,提篮桥街道,129.59500000000
444,提篮桥街道,24.68730000000
445,提篮桥街道,8.22658000000
446,提篮桥街道,10.28200000000
447,提篮桥街道,102.85200000000
448,提篮桥街道,62.55710000000
449,提篮桥街道,14.39910000000
450,提篮桥街道,8.22902000000
451,提篮桥街道,12.34280000000
452,提篮桥街道,55.54400000000
453,提篮桥街道,222.16300000000
454,提篮桥街道,635.64400000000
455,提篮桥街道,111.07900000000
456,提篮桥街道,8.22678000000
457,提篮桥街道,479.29500000000
458,提篮桥街道,2645.39000000000
459,提篮桥街道,8.22760000000
460,提篮桥街道,8.22902000000
461,提篮桥街道,1439.94000000000
462,提篮桥街道,12.34120000000
463,提篮桥街道,69.92880000000
464,提篮桥街道,8.23145000000
465,提篮桥街道,2.05730000000
466,提篮桥街道,14.40060000000
467,提篮桥街道,14.40380000000
468,提篮桥街道,1281.53000000000
469,提篮桥街道,2.05659000000
470,提篮桥街道,8.22820000000
471,提篮桥街道,8.22942000000
472,提篮桥街道,220.11100000000
473,提篮桥街道,4.11471000000
474,提篮桥街道,12.34450000000
475,提篮桥街道,4.11512000000
476,提篮桥街道,16.46010000000
477,提篮桥街道,12.34450000000
478,提篮桥街道,1242.49000000000
479,提篮桥街道,2.05670000000
